Tweet,Sentiment,Subcategory,Category
#skydiving Gold Coast Skydive - Quak - http://skydivinghq.net/gold-coast-skydive-quak/ ã #RT #Retweet,Neutral,Adventure tours and activities,Attraction
Perfect weather to go snorkelling and enjoy the underwater clarity on the Gold Coast! ___ #GoPro #Hero5... http://fb.me/wkYua1gU ,Positive,Adventure tours and activities,Attraction
The Gold Coast is home to #dive and #snorkelling sites for both beginners and advanced for all the water babies #classicholidays #GoldCoast ,Positive,Adventure tours and activities,Attraction
"All weather heroes... although the weather may be keeping the beaches relatively quiet,",,Scenic,Attraction
That's a wrap.. until next year... _ watching the firework at Gold Coast Show http://fb.me/70a6O14Mc ,Neutral,Live entertainment,Attraction
Shopping @WholeFoods Gold Coast? Try a Cranberry Shrub Tonic w/Bobby Chang's @seasonsspklng Lemon Tonic !,Neutral,Shopping,Attraction
I now have the theme music of the show going through my head ... Thanks?,,Exhibition entertainment,Attraction
"rt to be in a gc if you live near brisbane/gold coast- any fandom preferably dnp, troye- used to be a gc for troye's brisbane concert",Positive,Live entertainment,Attraction
I am in a nightclub.... At 11.42pm on the Gold Coast.... Please send help.,Neutral,Live entertainment,Attraction
About last night ____ #sincity #surfersparadise #goldcoast #vibes #energy @ SinCity The Nightclubã https://www.instagram.com/p/Bb8OiFWBiDr/ ,Neutral,Live entertainment,Attraction
"Understand caution is paramount, but it's seems TV coverage is trying to sell insurance, not keep people informed.",,Transportation Services,Transportation
"New Year's Eve Firework events across the Gold CoastAll taking place (obviously!) Wed 31st DecemberBroadbeach... http://fb.me/2uPFps35S ",Positive,Live entertainment,Attraction
"Some people have mentioned on many occasions that lack of parking spaces for buses, motorcycles, what about loading parking space for stores",Negative,Means of transport,Transportation
I'm at The Star Gold Coast Hotel & Casino,,First class accommodation,Accommodation
"Great day Rock climbing out at Pages Pinnacle today at the Gold Coast, feel refreshed and ready for another week of uni.",Positive,Adventure tours and activities,Attraction
Gold Coast Show Grounds Amusement Galleries ,Neutral,Exhibition entertainment,Attraction
Happy new year from the amazing beaches of the gold coast,,Scenic,Attraction
FREE exposure for >> Queensland Museum   Sciencentre >> a Local Services biz in Gold Coast City Queensland Australia. http://vegasvirtualconvention.com/u.php?w=139321&i=73711&b=52865&r=42682& ã,Neutral,Exhibition entertainment,Attraction
"Off to the creek, gonna get my snorkelling In #goldcoast",Neutral,Adventure tours and activities,Attraction
"Skydiving! __@destgc @Australia #skydiving #sundayfunday #goldcoast #queensland #australia #feelingadventurous",Neutral,Adventure tours and activities,Attraction
